Day,Power
34.4342, 73.7862640820476
151.303, 73.45431157891825
297.284, 72.38542451884177
443.423, 72.29745710551249
584.611, 71.71923733912406
740.455, 71.38562507347908
886.541, 70.9706844445674
1042.28, 69.9831257477576
1188.29, 69.0777252954723
1222.28, 68.42232657210631
1280.68, 68.01112040885484
1314.65, 67.19223507769763
1373.08, 67.02625882613296
1436.32, 66.45135858477583
1494.64, 65.54969259815076
1582.11, 64.23806527016093
1645.31, 63.417935117117
1703.68, 62.84324234607432
1786.37, 62.02228231177256
1878.76, 60.95567742515509
1941.92, 59.890317360424355
2000.25, 59.07039467769487
2019.68, 58.74259158085464
2053.69, 58.168936161384245
2112.03, 57.43075678255037
2136.26, 56.61228639202208
2194.6, 55.8741070131882
2228.59, 55.136964985926596
2262.65, 54.89028278203861
2296.68, 54.48011397035941
2325.83, 53.98840932509907
2345.16, 53.00665979709404
2408.36, 52.1865296440501
2432.66, 51.77677577299981
2461.78, 51.12158451994828
2485.97, 50.05788421773319
2510.22, 49.40290043499609
2573.45, 48.746256889743364
2597.72, 48.25475971479748
2621.86, 46.864086196999985
2655.84, 46.12694416973838
2684.96, 45.471752916686846
3063.34, 35.48288715689597
3320.32, 27.95150727183453
3528.75, 21.403121736664843
3635.4, 18.128825233922782
