Name,Mag
Alpheratz,2.07
Caph,2.28
Algenib,2.83
Ankaa,2.40
Shedir,2.24
Diphda,2.04
Mirach,2.07
Achernar,0.45
Hamal,2.01
Polaris,1.97
Menkar,2.54
Algol,2.09
Mirphak,1.79
Alcyone,2.85
Aldebaran,0.87
Rigel,0.18
Capella,0.08
Bellatrix,1.64
Alnath,1.65
Nihal,2.81
Arneb,2.58
Alnilam,1.69
Alnitak,1.74
Saiph,2.07
Betelgeuse,0.45
Canopus,-0.62
Alhena,1.93
Sirius,-1.44
Adhara,1.50
Castor,1.58
Procyon,0.40
Pollux,1.16
Alphard,1.99
Regulus,1.36
Algieba,2.01
Merak,2.34
Dubhe,1.81
Denebola,2.14
Phad,2.41
Acrux,0.77
Alioth,1.76
Vindemiatrix,2.85
Mizar,2.23
Spica,0.98
Alkaid,1.85
Hadar,0.61
Arcturus,-0.05
RigelKentaurusB,1.35
RigelKentaurusA,-0.01
Izar,2.35
Kochab,2.07
Alphekka,2.22
Unukalhai,2.63
Antares,1.06
Rasalgethi,2.78
Shaula,1.62
Rasalhague,2.08
Etamin,2.24
KausAustralis,1.79
Vega,0.03
Nunki,2.05
Tarazed,2.72
Altair,0.76
Deneb,1.25
Alderamin,2.45
Enif,2.38
Alnair,1.73
Fomalhaut,1.17
Scheat,2.44
Markab,2.49
